X,Y,OBJECTID,GLOBAL_ID,TYPE_CODE,IDENT,CHANNEL,NAS_USE,CLASS_TXT,NAME_TXT,CITY,STATE,COUNTRY,STATUS,REMARKS,AK_LOW,AK_HIGH,US_LOW,US_HIGH,US_AREA,PACIFIC
-176.676008333,51.871897222,1,DECD1B7B-F419-4D71-97AE-25BC91363C1B,4,ADK,,1,HW/DME,MOUNT MOFFETT,ADAK ISLAND,AK,UNITED STATES,IFR,"DME CHANNEL 087X IS PAIRED WITH VHF FREQ 114.0.||DME UNUSBL 080-105 BYD 27 NM, 105-115, 115-155 BYD 27 NM, 155-225, 225-290 BYD 27 NM, 290-340, 340-055 BYD 20 NM.",1,1,0,0,0,0
-149.960141389,61.1678661110001,2,FE4FD0CD-5FBA-4882-A11D-87EF5F4D5939,6,TED,,1,H-VORW/DME,ANCHORAGE,ANCHORAGE,AK,UNITED STATES,RESTRICTED,"VOR UNUSBL 041-091 BYD 25 NM BLW 15000 FT; 091-096 BYD 20 NM BLW 15000 FT; 096-121 BYD 25 NM BLW 12500 FT; 121-146 BYD 25 NM BLW 9000 FT.||DME UNUSBL 041-091 BYD 25 NM BLW 15000 FT; 091-096 BYD 20 NM BLW 15000 FT;  096-121 BYD 25 NM BLW 12500 FT; 121-146",1,1,0,0,0,0
-149.769180556,61.2550027780001,3,EB4D65BA-F957-48CF-8800-D841C86766CA,9,EDF,,1,H-TACAN,ELMENDORF,ANCHORAGE,AK,UNITED STATES,RESTRICTED,"NO-NOTAM MP THURS 0800-1500Z++.||TACAN AZM UNUSBL 035-160 BYD 15 NM; 215-225 BYD 30 NM.||DME UNUSBL 035-160 BYD 15 NM; 215-225 BYD 30 NM.",1,1,0,0,0,0
-159.597908333,61.5901686110001,4,4966AA19-55AE-4790-A4CD-0994F4A56B00,3,ANI,,1,HW,ANIAK,ANIAK,,UNITED STATES,IFR,,1,1,0,0,0,0
-131.578399444,55.0604086110001,5,5784C072-8F9C-4AC3-8865-7988EDDEAA56,6,ANN,,1,H-VORW/DME,ANNETTE ISLAND,ANNETTE,AK,UNITED STATES,RESTRICTED,"VOR UNUSBL 000-100 BYD 9 NM BLW 6500 FT; 000-100 BYD 11 NM BLW 12000 FT; 000-100 BYD 15 NM; 120-130 BYD 37 NM BLW 6000 FT; 290-320 BYD 32 NM BLW 7000 FT; 290-320 BYD 37 NM BLW 9000 FT; 345-000 BYD 20 NM.||DME UNUSBL 000-100 BYD 9 NM BLW 6500 FT; 000-100 ",1,1,0,0,0,0
-161.824329722,60.7848369440001,6,5EAA342E-AFD1-453A-B2D1-B5891BDD91EB,8,BET,,1,H-VORTACW,BETHEL,BETHEL,AK,UNITED STATES,IFR,,1,1,0,0,0,0
-161.872759722,60.791308611,7,7BA2A392-5CD2-4120-A3DB-6FA8CE7F63E8,3,OSE,,1,HW,OSCARVILLE,BETHEL,AK,UNITED STATES,IFR,,1,0,0,0,0,0
-151.535882778,66.9050083330001,8,B5721B92-F042-43B4-8CAF-4233E6F62D17,6,BTT,,1,H-VORW/DME,BETTLES,BETTLES,AK,UNITED STATES,RESTRICTED,VOR AZIMUTH & DME UNUSABLE 047-077 BYD 24 NM ALL ALTS.,1,1,0,0,0,0
-151.563722222,66.893188889,9,2F88ADCF-C8A6-4EEE-A597-0551E5FB7BB5,3,EAV,,1,HW,EVANSVILLE,BETTLES,AK,UNITED STATES,IFR,,1,0,0,0,0,0
-149.967144444,61.5694541670001,10,2790E5AB-6039-4BD1-B316-F12082328C8A,8,BGQ,,1,H-VORTACW,BIG LAKE,BIG LAKE,AK,UNITED STATES,IFR,TACAN AZM UNUSBL 230-245 BYD 38 BLW 8000 FT.||DME UNUSBL 230-245 BYD 38 BLW 8000 FT.,1,1,0,0,0,0
